Coffee Shop,Address,Hours on July 8th,coord
Kohiko Coffee House,"4617 Austin Pkwy, Sugar Land, TX 77479",7a-2p,"29.578951892532768, -95.58471209200262"
Summer Moon Coffee,"1765 S Friendswood Dr Ste 101, Friendswood, TX 77546",6a-7p,"29.50729204966772, -95.18599352047224"
Simply Coffie,"733 W 24th St, Houston, TX 77008",8a-5p,"29.80803421574694, -95.41174385397547"
Cambrian Coffee,"9461 Hammerly Blvd E, Houston, TX 77080",7a-3p,"29.809531871569515, -95.52511372625415"
BHBG Coffee,"3903 Washington Ave, Houston, TX 77007",8a-10p,"29.769263410219132, -95.39962995909934"
Un Caffe,"3217 Milam St, Houston, TX 77006",7a-6p,"29.742219844113794, -95.37885110327696"
Siphon Coffee,"701 W Alabama St, Houston, TX 77006",7a-8p,"29.738380975084848, -95.38829408793549"
Roast & Brew,"931 W 19th St, Houston, TX 77008",6:30a-12a,"29.802964210313508, -95.41577629377676"
The Coffee House @ West End,"802 Shepherd Dr, Houston, TX 77007",7a-6p,"29.769213523692983, -95.40889134242028"
A 2nd Cup,"4928 Fulton St Suite A, Houston, TX 77009",7:30a-5p,"29.804628594417284, -95.36841713211066"
Sunday Press,"Address: 3315 Ella Blvd, Houston, TX 77018",7a-8p,"29.816433566461875, -95.42976936094571"
Brass Tack,"612 Live Oak St, Houston, TX 77003",7a-10p,"29.751414156119893, -95.3494555310448"
Retrospect,"3709 La Branch St, Houston, TX 77004",7a-10p,"29.73533421702393, -95.3754000186186"
Three Keys Coffee Bar - DOWNTOWN,"712 Main St, Houston, TX 77002",7:30a-4p,"29.758847247195206, -95.36378873211186"
Cafetales Specialty Coffee,"11195 Westheimer Rd, Houston, TX 77042",7:30a-5p,"29.736170585390326, -95.57297560140158"
Prelude Coffee and Tea,"609 Main St #106, Houston, TX 77002",7a-4p,"29.75927637631139, -95.36278112514009"
Blendin Coffee Club,"8410 Hwy 90 Alt Bldg B, Sugar Land, TX 77478",7a-5:30p,"29.6198209019808, -95.62967080328015"
Blackwater Coffee Roasters 0 ,"Street Level, 2229 San Felipe St, Houston, TX 77019",7a-3p,"29.748713742326686, -95.41439679560915"
Blackwater Coffee Roasters 1,"6560 Fannin St # 245, Houston, TX 77030",6:30a-4:30p,"29.710409722053846, -95.40091468281804"
